Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","1995","1995","1000 ha","34.579","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","1996","1996","1000 ha","34.3073","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","1997","1997","1000 ha","34.0357","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","1998","1998","1000 ha","33.764","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","1999","1999","1000 ha","33.4924","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2000","2000","1000 ha","33.2208","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2001","2001","1000 ha","32.9491","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2002","2002","1000 ha","34.6775","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2003","2003","1000 ha","34.4058","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2004","2004","1000 ha","34.1342","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2005","2005","1000 ha","33.8625","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2006","2006","1000 ha","33.5909","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2007","2007","1000 ha","33.3192","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2008","2008","1000 ha","33.0476","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2009","2009","1000 ha","32.2759","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2010","2010","1000 ha","32.0043","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2011","2011","1000 ha","32.7326","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2012","2012","1000 ha","32.461","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2013","2013","1000 ha","31.9705","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2014","2014","1000 ha","31.4799","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2015","2015","1000 ha","30.9894","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2016","2016","1000 ha","30.4988","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2017","2017","1000 ha","31.0083","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","31.5177","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2019","2019","1000 ha","31.0272","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2020","2020","1000 ha","31.5366","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2021","2021","1000 ha","31.0461","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2022","2022","1000 ha","30.5555","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","2023","2023","1000 ha","30.065","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","1990","1990","1000 ha","20","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","1991","1991","1000 ha","20","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","1992","1992","1000 ha","20","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","1993","1993","1000 ha","20","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","1994","1994","1000 ha","20","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","1995","1995","1000 ha","20","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","1996","1996","1000 ha","20","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","1997","1997","1000 ha","20","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","1998","1998","1000 ha","20","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","1999","1999","1000 ha","20","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2000","2000","1000 ha","20","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2001","2001","1000 ha","20","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2002","2002","1000 ha","20","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2003","2003","1000 ha","20","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2004","2004","1000 ha","20","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2005","2005","1000 ha","20","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2006","2006","1000 ha","20","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2007","2007","1000 ha","19","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2008","2008","1000 ha","19","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2009","2009","1000 ha","18","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2010","2010","1000 ha","18","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2011","2011","1000 ha","18","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2012","2012","1000 ha","18","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2013","2013","1000 ha","18","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2014","2014","1000 ha","18","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2015","2015","1000 ha","17","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2016","2016","1000 ha","17","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2017","2017","1000 ha","17","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2018","2018","1000 ha","16","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2019","2019","1000 ha","16","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2020","2020","1000 ha","16","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2021","2021","1000 ha","16","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2022","2022","1000 ha","16","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6610","Agricultural land","2023","2023","1000 ha","16","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6610","Agricultural land","1990","1990","1000 ha","39","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6610","Agricultural land","1991","1991","1000 ha","39","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6610","Agricultural land","1992","1992","1000 ha","39","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6610","Agricultural land","1993","1993","1000 ha","37","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6610","Agricultural land","1994","1994","1000 ha","37","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6610","Agricultural land","1995","1995","1000 ha","37","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6610","Agricultural land","1996","1996","1000 ha","37","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6610","Agricultural land","1997","1997","1000 ha","37","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6610","Agricultural land","1998","1998","1000 ha","34","I","Value imputed by a receiving agency",""
